ID,Latitude,Longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A021,-30.484,26.9136,1.081561644,1.890547945,0.723961749,1.477287671,1.13139726,1.324575342,1.884562842,1.285561644,1.720821918,0.961342466,1.52863388,2.078,1.336356164,1.223917808,1.409125683,1.398027397,2.178849315,1.158684932,1.112540984,1.478219178,1.323753425,1.479671233,1.156693989,0.890547945,1.193260274,0.883808219,1.422131148,1.312465753,1.248438356,1.143479452,1.738442623,1.837014925
A022,-30.9751,27.3421,1.669863014,2.456493151,1.19568306,2.189479452,1.851561644,2.120219178,2.442349727,1.998493151,2.340328767,1.752164384,2.799726776,3.096054795,2.177808219,1.838849315,2.276775956,2.159726027,3.038986301,1.647013699,2.06273224,2.020273973,2.101616438,2.320383562,2.130355191,1.571506849,1.884767123,1.193589041,1.591639344,1.581178082,1.504821918,1.186958904,1.905628415,1.985850746
A023,-31.576,27.7925,1.697315068,2.440493151,1.418196721,2.395369863,2.18709589,2.421945205,2.497431694,2.157534247,2.407041096,1.994986301,3.173879781,3.262219178,2.417863014,2.062657534,2.558087432,2.374438356,3.292767123,1.837041096,2.322568306,2.045287671,2.311315068,2.760986301,2.402213115,1.818986301,2.095561644,1.389287671,1.525218579,1.763780822,1.612630137,1.277205479,2.027513661,1.965671642
A024,-30.1141,29.2207,2.662328767,3.734438356,2.122622951,2.996684932,2.889178082,3.71890411,3.681038251,3.232136986,3.083041096,3.074493151,4.007677596,3.882219178,2.757534247,2.480273973,3.257650273,3.070767123,3.842657534,2.552383562,3.291229508,2.859287671,2.917753425,3.278520548,3.387540984,2.723452055,2.394821918,1.851150685,2.686748634,3.118849315,2.40660274,2.657726027,2.846284153,2.94438806
A025,-30.5976,29.2867,2.981753425,3.892493151,2.190546448,3.03369863,3.020547945,4.220493151,3.95510929,3.571150685,3.389726027,3.157561644,4.616994536,4.479643836,3.065232877,2.64460274,3.422295082,3.293671233,4.256109589,2.829917808,3.952786885,3.242027397,3.162109589,3.572082192,4.10795082,3.047123288,2.669972603,1.81290411,2.738743169,3.073808219,2.310547945,2.747178082,2.691721311,2.919641791
A026,-30.9468,30.1875,3.193424658,3.627643836,1.875409836,2.75,2.470246575,3.90430137,3.780027322,3.518739726,3.342630137,3.217890411,4.220710383,3.660438356,3.059780822,2.501972603,3.097513661,3.110657534,4.235013699,3.346493151,4.706256831,3.563178082,2.436739726,3.686986301,4.53647541,3.361917808,2.341917808,2.552356164,3.496065574,4.444109589,2.474164384,3.872520548,3.329535519,3.793014925
A027,-30.9563,29.5613,2.935315068,3.622465753,2.266393443,3,2.923315068,4.021972603,3.735765027,3.429315068,3.340931507,3.047671233,4.714726776,4.445616438,3.167726027,2.596493151,3.465081967,3.363315068,4.415287671,2.832684932,3.949726776,3.329041096,3.042027397,3.716356164,4.154726776,3.040246575,2.671890411,2.204136986,3.021612022,3.202164384,2.611945205,3.047972603,2.945901639,3.14361194
A028,-31.3418,29.8689,2.423479452,2.672739726,1.400382514,2.099123288,1.939561644,2.86,2.824972678,2.512520548,2.528547945,2.34260274,3.436284153,2.773561644,2.532630137,1.921068493,2.286420765,2.347315068,3.19890411,2.56230137,3.45647541,2.777643836,1.755260274,2.962931507,3.608934426,2.530082192,1.806575342,1.963013699,2.49510929,3.089150685,1.892657534,2.892273973,2.712131148,3.363492537
A029,-31.5854,28.2759,1.959753425,2.649479452,1.68010929,2.521123288,2.394246575,2.816493151,2.696612022,2.379863014,2.616684932,2.224410959,3.627486339,3.592246575,2.577863014,2.179041096,2.74931694,2.636876712,3.594931507,2.107369863,2.696174863,2.385260274,2.583506849,3.118493151,2.808661202,2.120082192,2.254082192,1.958657534,2.20136612,2.31290411,2.198383562,1.827726027,2.380437158,2.604865672
A030,-32.0428,28.3199,2.005835616,2.855123288,1.953114754,2.798383562,2.517068493,3.129013699,2.92147541,2.547013699,2.990493151,2.623260274,3.897513661,3.961424658,2.903643836,2.349506849,2.80273224,3.088520548,4.050876712,2.427917808,3.176311475,2.619835616,2.89909589,3.838219178,3.15863388,2.523589041,2.53860274,2.400328767,2.449344262,2.636465753,2.487863014,2.281506849,2.68568306,2.688895522
A031,-30.5597,27.8145,1.840383562,2.613534247,1.261174863,2.093315068,1.884328767,2.283808219,2.510437158,2.048465753,2.260465753,1.819753425,3.04420765,3.20630137,2.01309589,1.800438356,2.208306011,2.107589041,2.916657534,1.619068493,2.296311475,2.091232877,2.305452055,2.386520548,2.403989071,1.726356164,1.974219178,1.274246575,1.921693989,1.989479452,1.610712329,1.660986301,1.957568306,2.269253731
A032,-31.3042,26.9685,1.237835616,2.069753425,0.992704918,1.981260274,1.717424658,1.887205479,2.099453552,1.777506849,1.994328767,1.484493151,2.272868852,2.474246575,2.09109589,1.77860274,2.096311475,1.899890411,2.735041096,1.490082192,1.635710383,1.550849315,1.61169863,2.018767123,1.686502732,1.260986301,1.617534247,1.239780822,1.394098361,1.644986301,1.435863014,1.181342466,1.997404372,1.80480597
A033,-31.0504,28.6055,2.679424658,3.363534247,2.135437158,2.817205479,2.83909589,3.743616438,3.462349727,3.044684932,3.095369863,2.673260274,4.468306011,4.302739726,2.937917808,2.398547945,3.231010929,3.160794521,4.108931507,2.482547945,3.347076503,2.95969863,2.973041096,3.448219178,3.739398907,2.702246575,2.515205479,1.915534247,2.636502732,2.659178082,2.453835616,2.486712329,2.595327869,2.80119403
A034,-31.9031,28.6275,1.431452055,1.716876712,1.287786885,1.688547945,1.398547945,2.022082192,1.771885246,1.800356164,1.917753425,1.580684932,2.669371585,2.490465753,2.040712329,1.571260274,1.854234973,2.092794521,2.745534247,1.677452055,2.104972678,1.892356164,1.664958904,2.47430137,2.403196721,1.89630137,1.547589041,2.196,2.473005464,2.68309589,2.281589041,2.589123288,2.50057377,2.66561194
A035,-31.576,29.4844,2.310849315,2.788164384,1.914371585,2.504630137,2.206767123,3.193616438,2.798551913,2.712493151,2.743972603,2.45660274,3.84795082,3.591917808,2.664575342,2.158684932,2.828715847,2.897041096,3.791205479,2.402136986,3.161393443,2.829452055,2.377315068,3.244958904,3.545300546,2.602273973,2.142383562,2.538246575,3.106693989,3.369753425,2.722328767,3.22860274,3.102896175,3.260328358
A036,-31.7911,26.3313,1.096410959,2.059753425,1.087540984,1.981863014,1.673808219,1.942520548,2.018306011,1.662684932,1.835205479,1.449753425,2.264972678,2.318767123,2.123808219,1.722767123,1.98989071,1.841917808,2.455205479,1.381890411,1.534480874,1.405150685,1.494027397,2.036958904,1.73489071,1.21260274,1.610356164,1.117808219,1.038551913,1.273945205,1.079342466,0.927753425,1.753825137,1.248686567
A037,-32.831,26.7268,1.534794521,2.350273973,1.626557377,2.750027397,2.358219178,2.565643836,2.750355191,2.503013699,2.90909589,2.497972603,3.242185792,3.169506849,3.15309589,2.123287671,2.621830601,2.804821918,3.522794521,1.772,2.195382514,1.633589041,1.967452055,2.852273973,2.403797814,1.928383562,2.198712329,2.538849315,2.019672131,2.591808219,1.788493151,1.680630137,2.801038251,2.547820896
